"service_id","date","exception_type"
"4FC92F3A","20220511","1"
"4FC92F3A","20220512","1"
"4FC92F3A","20220513","1"
"4FC92F3A","20220516","1"
"4FC92F3A","20220517","1"
"4FC92F3A","20220518","1"
"4FC92F3A","20220519","1"
"4FC92F3A","20220520","1"
"CCE91310","20220321","1"
"CCE91310","20220322","1"
"CCE91310","20220323","1"
"CCE91310","20220324","1"
"CCE91310","20220328","1"
"CCE91310","20220329","1"
"CCE91310","20220330","1"
"CCE91310","20220331","1"
"CCE91310","20220404","1"
"CCE91310","20220405","1"
"CCE91310","20220406","1"
"CCE91310","20220407","1"
"CCE91310","20220411","1"
"CCE91310","20220412","1"
"CCE91310","20220413","1"
"CCE91310","20220414","1"
"CCE91310","20220418","1"
"CCE91310","20220419","1"
"CCE91310","20220420","1"
"CCE91310","20220421","1"
"CCE91310","20220425","1"
"CCE91310","20220426","1"
"CCE91310","20220427","1"
"CCE91310","20220428","1"
"CCE91310","20220502","1"
"CCE91310","20220503","1"
"CCE91310","20220504","1"
"CCE91310","20220505","1"
"CCE91310","20220509","1"
"CCE91310","20220510","1"
"CCE91310","20220511","1"
"CCE91310","20220512","1"
"CCE91310","20220516","1"
"CCE91310","20220517","1"
"CCE91310","20220518","1"
"CCE91310","20220519","1"
"548C2D60","20220507","1"
"548C2D60","20220508","1"
"06BC5ED3","20220416","1"
"06BC5ED3","20220507","1"
"DDAB1119","20220417","1"
"DDAB1119","20220508","1"
"E6EEC7CB","20220322","1"
"E6EEC7CB","20220329","1"
"E6EEC7CB","20220405","1"
"E6EEC7CB","20220412","1"
"E6EEC7CB","20220419","1"
"E6EEC7CB","20220426","1"
"E6EEC7CB","20220503","1"
"E6EEC7CB","20220510","1"
"E6EEC7CB","20220517","1"
"7C18EAEA","20220321","1"
"7C18EAEA","20220323","1"
"7C18EAEA","20220324","1"
"7C18EAEA","20220325","1"
"7C18EAEA","20220328","1"
"7C18EAEA","20220330","1"
"7C18EAEA","20220331","1"
"7C18EAEA","20220401","1"
"7C18EAEA","20220404","1"
"7C18EAEA","20220406","1"
"7C18EAEA","20220407","1"
"7C18EAEA","20220408","1"
"7C18EAEA","20220411","1"
"7C18EAEA","20220413","1"
"7C18EAEA","20220414","1"
"7C18EAEA","20220415","1"
"7C18EAEA","20220418","1"
"7C18EAEA","20220420","1"
"7C18EAEA","20220421","1"
"7C18EAEA","20220422","1"
"7C18EAEA","20220425","1"
"7C18EAEA","20220427","1"
"7C18EAEA","20220428","1"
"7C18EAEA","20220429","1"
"7C18EAEA","20220502","1"
"7C18EAEA","20220504","1"
"7C18EAEA","20220505","1"
"7C18EAEA","20220506","1"
"7C18EAEA","20220509","1"
"7C18EAEA","20220511","1"
"7C18EAEA","20220512","1"
"7C18EAEA","20220513","1"
"7C18EAEA","20220516","1"
"7C18EAEA","20220518","1"
"7C18EAEA","20220519","1"
"7C18EAEA","20220520","1"
"C6CE6FA6","20220331","1"
"C6CE6FA6","20220428","1"
"C6CE6FA6","20220511","1"
"C5604004","20220322","1"
"C5604004","20220324","1"
"C5604004","20220331","1"
"C5604004","20220412","1"
"C5604004","20220419","1"
"C5604004","20220421","1"
"C5604004","20220428","1"
"C5604004","20220429","1"
"C5604004","20220511","1"
"944A43BE","20220322","1"
"944A43BE","20220324","1"
"944A43BE","20220325","1"
"944A43BE","20220412","1"
"944A43BE","20220415","1"
"944A43BE","20220419","1"
"944A43BE","20220421","1"
"944A43BE","20220429","1"
"D458687B","20220325","1"
"D458687B","20220415","1"
"114744B3","20220321","1"
"114744B3","20220323","1"
"114744B3","20220328","1"
"114744B3","20220329","1"
"114744B3","20220330","1"
"114744B3","20220401","1"
"114744B3","20220404","1"
"114744B3","20220405","1"
"114744B3","20220406","1"
"114744B3","20220407","1"
"114744B3","20220408","1"
"114744B3","20220411","1"
"114744B3","20220413","1"
"114744B3","20220414","1"
"114744B3","20220418","1"
"114744B3","20220420","1"
"114744B3","20220422","1"
"114744B3","20220425","1"
"114744B3","20220426","1"
"114744B3","20220427","1"
"114744B3","20220502","1"
"114744B3","20220503","1"
"114744B3","20220504","1"
"114744B3","20220505","1"
"114744B3","20220506","1"
"114744B3","20220509","1"
"114744B3","20220510","1"
"114744B3","20220512","1"
"114744B3","20220513","1"
"114744B3","20220516","1"
"114744B3","20220517","1"
"114744B3","20220518","1"
"114744B3","20220519","1"
"114744B3","20220520","1"
"064A2054","20220322","1"
"064A2054","20220324","1"
"064A2054","20220325","1"
"064A2054","20220331","1"
"064A2054","20220412","1"
"064A2054","20220415","1"
"064A2054","20220419","1"
"064A2054","20220421","1"
"064A2054","20220428","1"
"064A2054","20220429","1"
"064A2054","20220511","1"
"DFF5D3AB","20220321","1"
"DFF5D3AB","20220322","1"
"DFF5D3AB","20220323","1"
"DFF5D3AB","20220324","1"
"DFF5D3AB","20220328","1"
"DFF5D3AB","20220329","1"
"DFF5D3AB","20220330","1"
"DFF5D3AB","20220331","1"
"DFF5D3AB","20220404","1"
"DFF5D3AB","20220405","1"
"DFF5D3AB","20220406","1"
"DFF5D3AB","20220407","1"
"DFF5D3AB","20220411","1"
"DFF5D3AB","20220412","1"
"DFF5D3AB","20220413","1"
"DFF5D3AB","20220414","1"
"DFF5D3AB","20220415","1"
"DFF5D3AB","20220418","1"
"DFF5D3AB","20220419","1"
"DFF5D3AB","20220420","1"
"DFF5D3AB","20220421","1"
"DFF5D3AB","20220425","1"
"DFF5D3AB","20220426","1"
"DFF5D3AB","20220427","1"
"DFF5D3AB","20220428","1"
"DFF5D3AB","20220502","1"
"DFF5D3AB","20220503","1"
"DFF5D3AB","20220504","1"
"DFF5D3AB","20220505","1"
"DFF5D3AB","20220506","1"
"DFF5D3AB","20220509","1"
"DFF5D3AB","20220510","1"
"DFF5D3AB","20220511","1"
"DFF5D3AB","20220512","1"
"DFF5D3AB","20220516","1"
"DFF5D3AB","20220517","1"
"DFF5D3AB","20220518","1"
"DFF5D3AB","20220519","1"
"5712304A","20220325","1"
"5712304A","20220401","1"
"5712304A","20220408","1"
"5712304A","20220422","1"
"5712304A","20220429","1"
"5712304A","20220513","1"
"5712304A","20220520","1"
"B26A3444","20220321","1"
"B26A3444","20220322","1"
"B26A3444","20220323","1"
"B26A3444","20220324","1"
"B26A3444","20220325","1"
"B26A3444","20220329","1"
"B26A3444","20220330","1"
"B26A3444","20220331","1"
"B26A3444","20220401","1"
"B26A3444","20220405","1"
"B26A3444","20220406","1"
"B26A3444","20220407","1"
"B26A3444","20220408","1"
"B26A3444","20220412","1"
"B26A3444","20220413","1"
"B26A3444","20220414","1"
"B26A3444","20220415","1"
"B26A3444","20220418","1"
"B26A3444","20220419","1"
"B26A3444","20220420","1"
"B26A3444","20220421","1"
"B26A3444","20220422","1"
"B26A3444","20220426","1"
"B26A3444","20220427","1"
"B26A3444","20220428","1"
"B26A3444","20220429","1"
"B26A3444","20220503","1"
"B26A3444","20220504","1"
"B26A3444","20220505","1"
"B26A3444","20220506","1"
"B26A3444","20220509","1"
"B26A3444","20220510","1"
"B26A3444","20220511","1"
"B26A3444","20220512","1"
"B26A3444","20220513","1"
"B26A3444","20220517","1"
"B26A3444","20220518","1"
"B26A3444","20220519","1"
"B26A3444","20220520","1"
"CF3F377B","20220328","1"
"CF3F377B","20220404","1"
"CF3F377B","20220411","1"
"CF3F377B","20220425","1"
"CF3F377B","20220502","1"
"CF3F377B","20220516","1"
"B46A806C","20220321","1"
"B46A806C","20220323","1"
"B46A806C","20220328","1"
"B46A806C","20220329","1"
"B46A806C","20220330","1"
"B46A806C","20220404","1"
"B46A806C","20220405","1"
